priority_rank,institution,legal_employer,parent_system,fact_type,extracted_value,source_url,supporting_excerpt,page_title,retrieved_at,campus_system_scope,extractor_confidence,review_status,reviewer,reviewer_note
31,University of Florida,University of Florida,State University System of Florida,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
32,Portland State University,Portland State University,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
32,Portland State University,Portland State University,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
32,Portland State University,Portland State University,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
32,Portland State University,Portland State University,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
33,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,NONE_RECORDED,eb1b_supported,NOT_STATED,https://gss.vt.edu/vt-host/vt-host-green-card.html,"",Green Card Overview,2026-08-15T01:43:42.807849Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,1.0,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
33,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,NONE_RECORDED,h1b_research_staff_eligible,NOT_STATED,https://gss.vt.edu/vt-host/vt-host-green-card.html,"",Green Card Overview,2026-08-15T01:43:42.807849Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,1.0,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
33,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,NONE_RECORDED,perm_supported,YES,https://gss.vt.edu/vt-host/vt-host-green-card.html,Labor Certification Applications Basic PERM Overview Special Handling PERM Overview,Green Card Overview,2026-08-15T01:43:42.807849Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.9,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
33,Virginia Polytechnic Institute and State University,Virginia Polytechnic Institute and State University,NONE_RECORDED,pr_research_staff_eligible,YES,https://gss.vt.edu/vt-host/vt-host-green-card.html,Virginia Tech’s permanent residency policy allows departments to sponsor most employees for LPR status.,Green Card Overview,2026-08-15T01:43:42.807849Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.93,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
34,Georgia State University,Georgia State University,University System of Georgia,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
34,Georgia State University,Georgia State University,University System of Georgia,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
34,Georgia State University,Georgia State University,University System of Georgia,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
34,Georgia State University,Georgia State University,University System of Georgia,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
35,Emory University,Emory University,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
35,Emory University,Emory University,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
35,Emory University,Emory University,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
35,Emory University,Emory University,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
36,Drexel University,Drexel University,NONE_RECORDED,eb1b_supported,UNKNOWN,https://drexel.edu/studentlife/student-success/international-student-support/hiring-foreign-nationals,"Permanent Residency , commonly known as a ""green card,""",Hiring International Employees,2026-08-15T02:09:29.513376Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.99,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
36,Drexel University,Drexel University,NONE_RECORDED,h1b_research_staff_eligible,LIMITED,https://drexel.edu/studentlife/student-success/international-student-support/hiring-foreign-nationals,as well as a limited number of staff positions,Hiring International Employees,2026-08-15T02:09:29.513376Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.85,NEEDS_REVIEW,"",VALUE_LIMITED
36,Drexel University,Drexel University,NONE_RECORDED,perm_supported,YES,https://drexel.edu/studentlife/student-success/international-student-support/hiring-foreign-nationals,Departments interested in sponsoring a tenured or tenure-track faculty member for permanent residence should contact ISSS,Hiring International Employees,2026-08-15T02:09:29.513376Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.99,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
36,Drexel University,Drexel University,NONE_RECORDED,pr_research_staff_eligible,LIMITED,https://drexel.edu/studentlife/student-success/international-student-support/hiring-foreign-nationals,suitable for tenure-track faculty and certain research positions,Hiring International Employees,2026-08-15T02:09:29.513376Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.95,NEEDS_REVIEW,"",VALUE_LIMITED
37,University of Arizona,University of Arizona,Arizona Board of Regents,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
37,University of Arizona,University of Arizona,Arizona Board of Regents,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
37,University of Arizona,University of Arizona,Arizona Board of Regents,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
37,University of Arizona,University of Arizona,Arizona Board of Regents,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
38,Icahn School of Medicine at Mount Sinai,Icahn School of Medicine at Mount Sinai,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
38,Icahn School of Medicine at Mount Sinai,Icahn School of Medicine at Mount Sinai,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
38,Icahn School of Medicine at Mount Sinai,Icahn School of Medicine at Mount Sinai,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
38,Icahn School of Medicine at Mount Sinai,Icahn School of Medicine at Mount Sinai,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
39,Clemson University,Clemson University,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
39,Clemson University,Clemson University,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
39,Clemson University,Clemson University,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
39,Clemson University,Clemson University,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
40,University of Pennsylvania,University of Pennsylvania,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
40,University of Pennsylvania,University of Pennsylvania,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
40,University of Pennsylvania,University of Pennsylvania,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
40,University of Pennsylvania,University of Pennsylvania,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
41,Tufts University,Tufts University,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
41,Tufts University,Tufts University,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
41,Tufts University,Tufts University,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
41,Tufts University,Tufts University,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
42,Boston College,Boston College,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
42,Boston College,Boston College,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
42,Boston College,Boston College,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
42,Boston College,Boston College,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
43,Grand Valley State University,Grand Valley State University,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
43,Grand Valley State University,Grand Valley State University,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
43,Grand Valley State University,Grand Valley State University,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
43,Grand Valley State University,Grand Valley State University,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
44,University of Nebraska-Lincoln,University of Nebraska-Lincoln,University of Nebraska,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
44,University of Nebraska-Lincoln,University of Nebraska-Lincoln,University of Nebraska,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
44,University of Nebraska-Lincoln,University of Nebraska-Lincoln,University of Nebraska,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
44,University of Nebraska-Lincoln,University of Nebraska-Lincoln,University of Nebraska,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
45,Brown University,Brown University,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
45,Brown University,Brown University,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
45,Brown University,Brown University,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
45,Brown University,Brown University,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
46,Appalachian State University,Appalachian State University,University of North Carolina,eb1b_supported,NOT_STATED,https://hr.appstate.edu/hr-services/immigration-support/hiring-department-information,The permanent residency process is multiple steps and can take several years to complete.,Hiring Department Information — Immigration Support,2026-08-15T02:14:59.317828Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.98,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
46,Appalachian State University,Appalachian State University,University of North Carolina,h1b_research_staff_eligible,UNKNOWN,https://hr.appstate.edu/hr-services/immigration-support/hiring-department-information,Positions eligible for H-1B sponsorship at App State may include full time faculty and full time staff roles.,Hiring Department Information — Immigration Support,2026-08-15T02:14:59.317828Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.85,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
46,Appalachian State University,Appalachian State University,University of North Carolina,perm_supported,YES,https://hr.appstate.edu/hr-services/immigration-support/hiring-department-information,Appalachian State University does support the Special Handling PERM process,Hiring Department Information — Immigration Support,2026-08-15T02:14:59.317828Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.99,REVIEWED_ACCEPTED,codex:phase7-operator,"Official HTTPS source, current page, institution scope, affirmative value, contradiction state, and exact supporting excerpt manually reviewed."
46,Appalachian State University,Appalachian State University,University of North Carolina,pr_research_staff_eligible,UNKNOWN,https://hr.appstate.edu/hr-services/immigration-support/hiring-department-information,Positions NOT eligible for permanent residency sponsorship at App State include ... full-time staff roles.,Hiring Department Information — Immigration Support,2026-08-15T02:14:59.317828Z,UNKNOWN_SCOPE_REVIEW_REQUIRED,0.9,NEEDS_REVIEW,"",PENDING_HUMAN_REVIEW
47,Cornell University,Cornell University,Cornell University,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
47,Cornell University,Cornell University,Cornell University,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
47,Cornell University,Cornell University,Cornell University,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
47,Cornell University,Cornell University,Cornell University,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
48,University of Kentucky,University of Kentucky,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
48,University of Kentucky,University of Kentucky,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
48,University of Kentucky,University of Kentucky,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
48,University of Kentucky,University of Kentucky,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
49,Vanderbilt University,Vanderbilt University,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
49,Vanderbilt University,Vanderbilt University,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
49,Vanderbilt University,Vanderbilt University,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
49,Vanderbilt University,Vanderbilt University,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
50,University of Iowa,University of Iowa,NONE_RECORDED,eb1b_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
50,University of Iowa,University of Iowa,NONE_RECORDED,h1b_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
50,University of Iowa,University of Iowa,NONE_RECORDED,perm_supported,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
50,University of Iowa,University of Iowa,NONE_RECORDED,pr_research_staff_eligible,UNKNOWN,"","","","",UNKNOWN_SCOPE_REVIEW_REQUIRED,,MISSING_CANDIDATE,"",""
